time (s)	det(V)
5219.475578	1.623304	
5219.477075	1.623328	
5219.478720	1.623288	
5219.480220	1.623425	
5219.481905	1.623469	
5219.483396	1.623534	
5219.485040	1.623034	
5219.486516	1.623477	
5219.488165	1.623506	
5219.489645	1.623429	
5219.491288	1.623558	
5219.492762	1.623465	
5219.494394	1.623635	
5219.495896	1.623409	
5219.497467	1.623490	
5219.499030	1.623433	
5219.500562	1.623449	
5219.502175	1.623465	
5219.503661	1.623554	
5219.505285	1.623143	
5219.506810	1.623510	
5219.508456	1.623482	
5219.509931	1.623518	
5219.511584	1.623578	
5219.513055	1.623465	
5219.514694	1.623486	
5219.516179	1.623550	
5219.517802	1.623522	
5219.519302	1.623546	
5219.520879	1.623586	
5219.522423	1.623494	
5219.523971	1.623566	
5219.525582	1.623393	
5219.527065	1.623546	
5219.528725	1.623542	
5219.530230	1.623586	
5219.531890	1.623562	
5219.533389	1.623594	
5219.535029	1.623647	
5219.536525	1.623550	
5219.538176	1.623607	
5219.539662	1.623526	
5219.541303	1.623566	
5219.542791	1.623598	
5219.544426	1.623651	
5219.545914	1.623461	
5219.547504	1.623627	
5219.549039	1.623461	
5219.550560	1.623631	
5219.552176	1.623490	
5219.553668	1.623570	
5219.555300	1.623373	
5219.556827	1.623558	
5219.558497	1.623461	
5219.559976	1.623627	
5219.561635	1.623449	
5219.563110	1.623526	
5219.564758	1.623594	
5219.566236	1.623453	
5219.567872	1.623562	
5219.569360	1.623429	
5219.570969	1.623659	
5219.572494	1.623570	
5219.574053	1.623582	
5219.575623	1.623514	
5219.577218	1.623635	
5219.578813	1.623474	
5219.580385	1.623719	
5219.581994	1.623486	
5219.583533	1.623614	
5219.585207	1.623554	
5219.586705	1.623562	
5219.588395	1.623538	
5219.589890	1.623502	
5219.591549	1.623502	
5219.593038	1.623578	
5219.594683	1.623570	
5219.596165	1.623538	
5219.597855	1.623574	
5219.599335	1.623433	
5219.601012	1.623586	
5219.602516	1.623474	
5219.604170	1.623598	
5219.605695	1.623345	
5219.607349	1.623542	
5219.608919	1.623526	
5219.610516	1.623486	
5219.612094	1.623465	
5219.613662	1.623184	
5219.615285	1.623393	
5219.616820	1.623526	
5219.618504	1.623389	
5219.619982	1.623417	
5219.621685	1.623441	
5219.623167	1.623429	
5219.624899	1.622954	
5219.626373	1.623381	
5219.628098	1.622958	
5219.629577	1.623244	
5219.631284	1.620742	
5219.632768	1.623038	
5219.634465	1.619776	
5219.635945	1.547250	
5219.637630	1.370866	
5219.639141	1.075843	
5219.640791	0.957483	
5219.642338	0.683795	
5219.643949	0.498650	
5219.645517	0.160380	
5219.647118	0.144939	
5219.648707	-0.154341	
5219.650279	-0.327285	
5219.651884	-0.549709	
5219.653391	-0.717742	
5219.655077	-0.965298	
5219.656560	-1.090148	
5219.658285	-1.324258	
5219.659759	-1.543858	
5219.661477	-1.614241	
5219.662961	-1.628122	
5219.664669	-1.627345	
5219.666150	-1.628513	
5219.667865	-1.627949	
5219.669348	-1.628541	
5219.671039	-1.625572	
5219.672537	-1.628662	
5219.674185	-1.628324	
5219.675712	-1.628473	
5219.677353	-1.627868	
5219.678919	-1.628549	
5219.680528	-1.627921	
5219.682123	-1.628585	
5219.683690	-1.628001	
5219.685311	-1.628614	
5219.686865	-1.628565	
5219.688514	-1.628590	
5219.690004	-1.628529	
5219.691724	-1.628453	
5219.693193	-1.628573	
5219.694915	-1.628561	
5219.696385	-1.628581	
5219.698077	-1.628223	
5219.699560	-1.628646	
5219.701277	-1.628614	
5219.702768	-1.628622	
5219.704481	-1.628485	
5219.705973	-1.628674	
5219.707638	-1.628501	
5219.709137	-1.628666	
5219.710776	-1.628175	
5219.712317	-1.628670	
5219.713957	-1.628126	
5219.715517	-1.628662	
5219.717098	-1.628412	
5219.718698	-1.628549	
5219.720249	-1.628634	
5219.721877	-1.628670	
5219.723379	-1.628638	
5219.725084	-1.628747	
5219.726555	-1.628626	
5219.728274	-1.628352	
5219.729753	-1.628642	
5219.731475	-1.628146	
5219.732964	-1.628710	
5219.734686	-1.628590	
5219.736179	-1.628622	
5219.737890	-1.628549	
5219.739380	-1.628662	
5219.741087	-1.628307	
5219.742573	-1.628759	
5219.744244	-1.628662	
5219.745760	-1.628714	
5219.747403	-1.628178	
5219.748955	-1.628682	
5219.750550	-1.628364	
5219.752131	-1.628690	
5219.753709	-1.628642	
5219.755312	-1.628726	
5219.756857	-1.628549	
5219.758533	-1.628614	
5219.760022	-1.628654	
5219.761710	-1.628682	
5219.763197	-1.628634	
5219.764917	-1.628054	
5219.766399	-1.628626	
5219.768130	-1.628456	
5219.769614	-1.628618	
5219.771312	-1.628666	
5219.772797	-1.628650	
5219.774498	-1.628593	
5219.775977	-1.628634	
5219.777654	-1.628400	
5219.779160	-1.628666	
5219.780830	-1.628034	
5219.782379	-1.628610	
5219.784010	-1.628231	
5219.785576	-1.628722	
5219.787191	-1.628626	
5219.788777	-1.628666	
5219.790365	-1.628577	
5219.791968	-1.628626	
5219.793522	-1.628606	
5219.795160	-1.628316	
5219.796645	-1.628670	
5219.798364	-1.628134	
5219.799838	-1.628585	
5219.801567	-1.628263	
5219.803040	-1.628630	
5219.804750	-1.628465	
5219.806227	-1.628569	
5219.807914	-1.628497	
5219.809399	-1.628666	
5219.811116	-1.628050	
5219.812599	-1.628598	
5219.814282	-1.628066	
5219.815794	-1.628597	
5219.817462	-1.628372	
5219.818987	-1.628614	
5219.820616	-1.628283	
5219.822169	-1.628432	
5219.823765	-1.628021	
5219.825362	-1.628561	
5219.826915	-1.628066	
5219.828536	-1.628400	
5219.830041	-1.628465	
5219.831742	-1.627808	
5219.833214	-1.628420	
5219.834935	-1.627413	
5219.836407	-1.628549	
5219.838131	-1.628094	
5219.839612	-1.611227	
5219.841320	-1.627752	
5219.842809	-1.626483	
5219.844496	-1.627526	
5219.845990	-1.628312	
5219.847653	-1.627188	
5219.849150	-1.627989	
5219.850816	-1.627067	
5219.852341	-1.627171	
5219.853977	-1.606760	
5219.855539	-1.605805	
5219.857122	-1.440225	
5219.858722	-1.394266	
5219.860286	-1.354386	
5219.861905	-1.418033	
5219.863431	-1.253182	
5219.865113	-1.232138	
5219.866594	-1.172999	
5219.868307	-1.122447	
5219.869779	-1.046098	
5219.871489	-1.134810	
5219.872969	-1.005296	
5219.874687	-0.978479	
5219.876176	-0.999555	
5219.877886	-0.862701	
5219.879372	-0.864220	
5219.881074	-0.798224	
5219.882554	-0.980151	
5219.884221	-0.722802	
5219.885738	-0.702410	
5219.887375	-0.705460	
5219.888923	-0.748095	
5219.890525	-0.571695	
5219.892115	-0.738560	
5219.893694	-0.525370	
5219.895303	-0.620490	
5219.896939	-0.490089	
5219.898553	-0.585246	
5219.900181	-0.433894	
5219.901811	-0.462499	
5219.903418	-0.414454	
5219.905106	-0.464812	
5219.906685	-0.372708	
5219.908362	-0.434587	
5219.909942	-0.343181	
5219.911615	-0.344389	
5219.913195	-0.330689	
5219.914877	-0.343024	
5219.916429	-0.295667	
5219.918135	-0.311736	
5219.919675	-0.281974	
5219.921401	-0.304549	
5219.922908	-0.257857	
5219.924661	-0.252999	
5219.926148	-0.271162	
5219.927917	-0.217235	
5219.929399	-0.262300	
5219.931173	-0.208240	
5219.932664	-0.235290	
5219.934445	-0.159534	
5219.935930	-0.207720	
5219.937705	-0.180151	
5219.939201	-0.185742	
5219.940944	-0.072623	
5219.942460	-0.155759	
5219.944218	-0.084011	
5219.945744	-0.138349	
5219.947490	-0.060667	
5219.949015	-0.145898	
5219.950729	-0.043538	
5219.952263	-0.066419	
5219.953981	-0.063216	
5219.955546	-0.132786	
5219.957232	-0.037202	
5219.958798	-0.119395	
5219.960483	0.035502	
5219.962054	-0.155493	
5219.963734	-0.014268	
5219.965330	-0.120886	
5219.966976	0.020730	
5219.968576	-0.123359	
5219.970205	0.025382	
5219.971834	-0.110316	
5219.973441	0.030700	
5219.975120	-0.106130	
5219.976722	0.033322	
5219.978383	-0.085404	
5219.979977	0.026728	
5219.981665	-0.045806	
5219.983229	-0.001555	
5219.984927	-0.056658	
5219.986485	-0.000254	
5219.988207	-0.030684	
5219.989763	0.024806	
5219.991451	0.093119	
5219.993012	0.006683	
5219.994736	0.054032	
5219.996241	0.011714	
5219.998002	-0.000922	
5219.999481	-0.021330	
5220.001264	0.007900	
5220.002750	-0.021523	
5220.004522	-0.005869	
5220.006015	0.028380	
5220.007800	-0.001652	
5220.009278	0.034398	
5220.011048	0.029725	
5220.012544	-0.118280	
5220.014301	0.008782	
5220.015804	-0.069497	
5220.017536	0.035518	
5220.019052	-0.097385	
5220.020783	0.040356	
5220.022319	0.016375	
5220.024047	0.078697	
5220.025595	-0.047631	
5220.027292	0.074556	
5220.028849	-0.078242	
5220.030558	0.078395	
5220.032132	-0.082597	
5220.033802	0.092901	
5220.035385	-0.061061	
5220.037061	0.085993	
5220.038638	-0.003138	
5220.040286	0.060437	
5220.041873	-0.063986	
5220.043498	0.043760	
5220.045129	-0.011803	
5220.046718	0.060103	
5220.048402	-0.057484	
5220.049995	0.001100	
5220.051678	-0.022273	
5220.053270	0.050471	
5220.054944	-0.003199	
5220.056518	-0.040142	
5220.058217	-0.052650	
5220.059757	0.003771	
5220.061474	0.049552	
5220.063018	0.006921	
5220.064724	-0.033568	
5220.066249	-0.031554	
5220.067977	-0.013733	
5220.069467	0.052755	
5220.071248	0.005257	
5220.072743	0.004717	
5220.074525	-0.027626	
5220.076011	-0.037540	
5220.077774	0.052469	
5220.079260	-0.066318	
5220.081032	0.050060	
5220.082528	0.009825	
5220.084306	0.017326	
5220.085815	-0.068461	
5220.087573	0.026571	
5220.089087	-0.051550	
5220.090818	0.009652	
5220.092334	-0.055522	
5220.094034	0.065625	
5220.095570	-0.076131	
5220.097265	0.029040	
5220.098823	-0.162829	
5220.100535	0.060276	
5220.102106	-0.089980	
5220.103788	0.026825	
5220.105363	-0.027864	
5220.107029	0.045673	
5220.108628	-0.058455	
5220.110280	0.039179	
5220.111883	-0.060002	
5220.113512	0.021141	
5220.115147	-0.008673	
5220.116775	0.030446	
5220.118412	-0.040916	
5220.120026	0.014542	
5220.121720	-0.026853	
5220.123291	0.026003	
5220.124976	-0.103874	
5220.126543	-0.002506	
5220.128238	-0.008403	
5220.129798	0.002115	
5220.131457	-0.054950	
5220.133000	-0.031663	
5220.134715	-0.053121	
5220.136242	-0.036541	
5220.138001	-0.036472	
5220.139479	-0.072482	
5220.141240	0.001071	
5220.142721	0.016158	
5220.144504	0.005354	
5220.145991	-0.099157	
5220.147773	-0.017499	
5220.149266	-0.071728	
5220.151050	0.040150	
5220.152540	-0.118831	
5220.154316	-0.030950	
5220.155814	-0.083338	
5220.157548	0.034285	
5220.159056	-0.043131	
5220.160807	-0.008709	
5220.162337	-0.112338	
5220.164043	0.025564	
5220.165578	-0.124584	
5220.167302	0.025519	
5220.168850	-0.098041	
5220.170532	-0.016512	
5220.172099	-0.153680	
5220.173783	0.041737	
5220.175375	-0.031614	
5220.177035	0.011215	
5220.178635	-0.033677	
5220.180292	0.002626	
5220.181891	-0.062975	
5220.183511	-0.017684	
5220.185125	-0.004081	
5220.186728	-0.019912	
5220.188405	-0.125962	
5220.189991	0.010736	
5220.191669	-0.130743	
5220.193268	-0.023364	
5220.194930	-0.054394	
5220.196509	-0.024214	
5220.198196	-0.031651	
5220.199753	-0.028001	
5220.201449	-0.092293	
5220.202990	-0.058797	
5220.204714	-0.080220	
5220.206232	-0.085840	
5220.207966	-0.062475	
5220.209458	-0.074133	
5220.211228	-0.049959	
5220.212724	-0.125728	
5220.214509	-0.002836	
5220.215984	-0.111359	
5220.217776	-0.026031	
5220.219249	-0.067938	
5220.221008	-0.041737	
5220.222508	-0.185138	
5220.224253	-0.065356	
5220.225765	-0.127279	
5220.227515	0.027364	
5220.229032	-0.129120	
5220.230766	-0.003722	
5220.232294	-0.091060	
5220.234010	-0.022224	
5220.235547	-0.097944	
5220.237231	-0.009596	
5220.238787	-0.167042	
5220.240461	-0.030627	
5220.242046	-0.161165	
5220.243717	-0.015928	
5220.245294	-0.107375	
5220.246953	-0.003662	
5220.248564	-0.072751	
5220.250199	-0.050422	
5220.251804	-0.191067	
5220.253408	-0.047438	
5220.255086	-0.125829	
5220.256697	-0.051647	
5220.258332	-0.155054	
5220.259938	-0.029121	
5220.261594	-0.137434	
5220.263169	-0.092531	
5220.264879	-0.076997	
5220.266419	-0.031489	
5220.268139	-0.088840	
5220.269686	-0.066733	
5220.271390	-0.059945	
5220.272916	-0.082190	
5220.274660	-0.057041	
5220.276160	-0.098174	
5220.277919	-0.101784	
5220.279399	-0.127553	
5220.281201	-0.105155	
5220.282682	-0.122977	
5220.284447	-0.026103	
5220.285922	-0.062689	
5220.287664	-0.020601	
5220.289155	-0.058169	
5220.290900	-0.064433	
5220.292416	-0.120850	
5220.294148	-0.068159	
5220.295666	-0.166950	
5220.297387	-0.073219	
5220.298922	-0.220531	
5220.300600	-0.012258	
5220.302152	-0.125816	
5220.303843	-0.050153	
5220.305412	-0.131698	
5220.307102	-0.009970	
5220.308681	-0.177029	
5220.310335	-0.024214	
5220.311922	-0.146579	
5220.313565	-0.059478	
5220.315161	-0.183828	
5220.316777	-0.065839	
5220.318447	-0.165584	
5220.320024	-0.070153	
5220.321695	-0.154990	
5220.323289	-0.057710	
5220.324939	-0.182382	
5220.326513	-0.021850	
5220.328182	-0.110247	
5220.329745	-0.071817	
5220.331466	-0.168730	
5220.333011	-0.089936	
5220.334721	0.008685	
5220.336239	-0.094537	
5220.337965	-0.112322	
5220.339441	-0.151638	
5220.341209	-0.113869	
5220.342695	-0.086178	
5220.344470	-0.082210	
5220.345947	-0.129627	
5220.347728	-0.131633	
5220.349209	-0.210846	
5220.350966	-0.094476	
5220.352462	-0.180755	
5220.354218	-0.073146	
5220.355735	-0.143392	
5220.357475	-0.058374	
5220.358994	-0.132967	
5220.360699	-0.035236	
5220.362240	-0.149052	
5220.363945	-0.068989	
5220.365485	-0.168142	
5220.367168	-0.022071	
5220.368738	-0.140460	
5220.370409	-0.005273	
5220.371984	-0.012089	
5220.373641	-0.014776	
5220.375234	-0.109973	
5220.376872	-0.004705	
5220.378468	-0.156980	
5220.380085	0.010208	
5220.381746	-0.130199	
5220.383326	-0.004890	
5220.384993	-0.042185	
5220.386566	-0.021837	
5220.388256	0.020637	
5220.389842	0.009894	
5220.391524	-0.037641	
5220.393090	0.027590	
5220.394806	-0.016137	
5220.396343	0.008109	
5220.398051	-0.055228	
5220.399568	-0.030047	
5220.401299	0.018534	
5220.402780	0.047224	
5220.404552	0.058584	
5220.406041	0.027775	
5220.407835	0.086742	
5220.409311	0.042934	
5220.411086	0.083233	
5220.412559	-0.003924	
5220.414307	0.062383	
5220.415799	-0.020548	
5220.417552	0.144891	
5220.419063	0.100204	
5220.420800	0.143811	
5220.422335	0.133035	
5220.424061	0.194181	
5220.425591	0.129873	
5220.427278	0.241377	
5220.428829	0.124999	
5220.430529	0.242565	
5220.432089	0.108853	
5220.433763	0.279690	
5220.435337	0.190902	
5220.436970	0.308658	
5220.438577	0.310326	
5220.440221	0.373204	
5220.441840	0.214150	
5220.443479	0.363870	
5220.445106	0.268073	
5220.446720	0.399871	
5220.448382	0.289141	
5220.449963	0.416552	
5220.451640	0.405293	
5220.453234	0.484047	
5220.454894	0.478154	
5220.456480	0.541334	
5220.458182	0.488692	
5220.459728	0.569161	
5220.461421	0.562865	
5220.462952	0.599547	
5220.464670	0.581206	
5220.466175	0.623789	
5220.467932	0.675686	
5220.469412	0.702640	
5220.471177	0.750810	
5220.472666	0.730794	
5220.474445	0.781079	
5220.475927	0.858161	
5220.477714	0.897365	
5220.479188	0.893731	
5220.480952	0.972340	
5220.482454	0.938897	
5220.484177	1.078321	
5220.485690	1.031395	
5220.487424	1.227683	
5220.488954	1.218716	
5220.490663	1.304567	
5220.492206	1.262887	
5220.493904	1.340806	
5220.495460	1.336846	
5220.497150	1.476818	
5220.498724	1.410053	
5220.500390	1.607654	
5220.501971	1.540691	
5220.503635	1.616960	
5220.505234	1.619143	
5220.506874	1.622946	
5220.508473	1.613971	
5220.510110	1.623465	
5220.511740	1.622265	
5220.513350	1.623494	
5220.515025	1.620601	
5220.516604	1.623526	
5220.518297	1.622938	
5220.519885	1.623582	
5220.521551	1.623216	
5220.523124	1.623421	
5220.524833	1.623038	
5220.526388	1.623614	
5220.528092	1.623163	
5220.529640	1.623466	
5220.531358	1.623067	
5220.532872	1.623514	
5220.534613	1.623526	
5220.536101	1.623538	
5220.537872	1.623377	
5220.539351	1.623534	
5220.541145	1.623445	
5220.542627	1.623494	
5220.544409	1.623240	
5220.545884	1.623550	
5220.547659	1.623474	
5220.549143	1.623357	
5220.550899	1.623651	
5220.552402	1.623494	
5220.554122	1.623679	
5220.555644	1.623470	
5220.557359	1.623663	
5220.558899	1.623421	
5220.560607	1.623655	
5220.562154	1.623478	
5220.563834	1.623618	
5220.565396	1.623357	
5220.567087	1.623590	
5220.568664	1.623494	
5220.570321	1.623607	
5220.571902	1.623413	
5220.573543	1.623671	
5220.575161	1.623574	
5220.576776	1.623631	
5220.578407	1.623473	
5220.579993	1.623679	
5220.581661	1.623603	
5220.583246	1.623780	
5220.584910	1.623530	
5220.586494	1.623671	
5220.588195	1.623490	
5220.589755	1.623542	
5220.591462	1.623550	
5220.593001	1.623699	
5220.594711	1.623461	
5220.596253	1.623655	
5220.597969	1.623542	
5220.599457	1.623614	
5220.601225	1.623566	
5220.602718	1.623651	
5220.604501	1.623586	
5220.605987	1.623594	
5220.607784	1.623731	
5220.609263	1.623562	
5220.611042	1.623623	
5220.612527	1.623618	
5220.614299	1.623651	
5220.615803	1.623562	
5220.617564	1.623590	
5220.619067	1.623594	
5220.620812	1.623574	
5220.622321	1.623574	
5220.624032	1.623675	
5220.625566	1.623510	
5220.627263	1.623614	
5220.628806	1.623474	
5220.630505	1.623602	
5220.632065	1.623466	
5220.633749	1.623655	
5220.635318	1.623578	
5220.636981	1.623679	
5220.638570	1.623514	
5220.640224	1.623687	
5220.641840	1.623365	
5220.643464	1.623703	
5220.645090	1.623437	
5220.646730	1.623651	
5220.648373	1.623490	
5220.649985	1.623623	
5220.651650	1.623522	
5220.653229	1.623538	
5220.654917	1.623494	
5220.656481	1.623506	
5220.658176	1.623437	
5220.659734	1.623671	
5220.661410	1.623425	
5220.662963	1.623615	
5220.664672	1.623534	
5220.666209	1.623590	
5220.667941	1.623574	
5220.669425	1.623473	
5220.671184	1.623389	
5220.672665	1.623623	
5220.674445	1.623578	
5220.675935	1.623506	
5220.677710	1.623220	
5220.679196	1.623546	
5220.680983	1.623482	
5220.682480	1.623381	
5220.684245	1.623131	
5220.685742	1.623546	
5220.687486	1.622358	
5220.689008	1.623345	
5220.690744	1.622535	
5220.692262	1.622905	
5220.693998	1.621713	
5220.695533	1.609934	
5220.697245	1.516920	
5220.698794	1.211050	
5220.700477	1.153908	
5220.702056	0.893876	
5220.703709	0.802168	
5220.705286	0.530054	
5220.706921	0.472623	
5220.708531	0.147320	
5220.710170	0.107419	
5220.711783	-0.266534	
5220.713411	-0.296629	
5220.715051	-0.528161	
5220.716643	-0.705266	
5220.718322	-0.904435	
5220.719900	-1.073237	
5220.721577	-1.355804	
5220.723136	-1.459501	
5220.724827	-1.605898	
5220.726395	-1.628243	
5220.728100	-1.628195	
5220.729646	-1.628412	
5220.731375	-1.628255	
5220.732916	-1.628448	
5220.734642	-1.628312	
5220.736143	-1.628513	
5220.737898	-1.628042	
5220.739381	-1.628384	
5220.741154	-1.628360	
5220.742646	-1.628513	
5220.744436	-1.628432	
5220.745908	-1.627768	
5220.747675	-1.628489	
5220.749151	-1.628597	
5220.750901	-1.628086	
5220.752405	-1.628501	
5220.754123	-1.628328	
5220.755642	-1.628481	
5220.757367	-1.628336	
5220.758908	-1.628545	
5220.760633	-1.628360	
5220.762179	-1.628686	
5220.763879	-1.628400	
5220.765424	-1.628658	
5220.767111	-1.628493	
5220.768679	-1.628618	
5220.770336	-1.628279	
5220.771933	-1.628682	
5220.773589	-1.628481	
5220.775191	-1.628614	
5220.776843	-1.628461	
5220.778440	-1.628634	
5220.780057	-1.628557	
5220.781708	-1.628545	
5220.783289	-1.628614	
5220.784960	-1.628247	
5220.786529	-1.628638	
5220.788224	-1.628328	
5220.789807	-1.628634	
5220.791488	-1.628497	
5220.793049	-1.628533	
5220.794752	-1.628597	
5220.796303	-1.628634	
5220.798023	-1.628517	
5220.799552	-1.628614	
5220.801274	-1.628392	
5220.802764	-1.628589	
5220.804535	-1.628497	
5220.806016	-1.628658	
5220.807791	-1.628589	
5220.809279	-1.628602	
5220.811060	-1.628658	
5220.812537	-1.628662	
