time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
5344.599871	87.485504	1.018235	0.056409	149
5346.681601	86.999413	0.952140	0.052764	151
5348.751960	87.584663	0.887793	0.053231	153
5350.814809	90.476357	0.808120	0.049991	155
5352.907552	87.883507	0.714575	0.033108	157
5355.006548	83.897850	0.694291	0.048467	159
5357.047033	92.112831	0.621873	0.039082	161
5359.167577	83.954659	0.547187	0.024773	163
5361.217479	88.677681	0.545188	0.045811	165
5363.292010	90.037941	0.444916	0.016514	167
5365.420312	82.397293	0.425088	0.028694	169
5367.454871	87.715767	0.404109	0.028027	171
5369.501652	90.696884	0.353703	0.020250	173
5371.583050	89.318443	0.317904	0.017107	175
5373.665304	87.901154	0.292627	0.015352	177
5375.728779	85.848579	0.267386	0.012849	179
5377.787866	84.036201	0.234783	0.013084	181
5379.945707	87.187897	0.192336	0.016117	183
5381.574711	176.520248	0.004311	-0.100000	185
5382.952579	264.564087	0.167622	0.012705	187
5385.150122	274.444916	0.159453	0.008615	189
