crossing time (s)	slope (V/s)	crossing number
5343.495122	-76.143054	4756
5344.567451	-75.086480	4757
5345.597744	-63.754316	4758
5346.641890	-62.647428	4759
5347.729793	-58.093210	4760
5348.722583	-53.043811	4761
5349.757776	-49.108580	4762
5350.787882	-45.093713	4763
5351.870395	-42.206751	4764
5352.938882	-38.129583	4765
5353.937004	-36.096987	4766
5355.027657	-32.505852	4767
5355.991421	-28.293857	4768
5357.050358	-28.845750	4769
5358.072514	-28.191307	4770
5359.161276	-23.456535	4771
5360.130187	-21.132508	4772
5361.220656	-20.417355	4773
5362.321279	-16.283299	4774
5363.272652	-13.856869	4775
5364.323712	-12.739936	4776
5365.398535	-14.811423	4777
5366.383869	-10.286062	4778
5367.492762	-11.293749	4779
5368.504603	-8.639080	4780
5369.504094	-10.984713	4781
5370.599455	-6.886454	4782
5371.584985	-8.217114	4783
5372.681612	-6.405187	4784
5373.638245	-7.090939	4785
5374.748265	-4.620507	4786
5375.722381	-4.489941	4787
5376.841342	-5.446193	4788
5377.825892	-5.027820	4789
5378.919788	-2.502089	4790
5379.958269	-4.468630	4791
5380.884034	-3.102190	4792
5381.813046	5.607023	4793
5382.093791	-3.914674	4794
5382.960541	-3.589197	4795
5384.072028	-3.273397	4796
5385.168791	-2.587318	4797
